Date,Close,High,Low,Open,Volume,SMA_50,SMA_200,MACD,Signal,RSI,Momentum
2021-10-18,4486.4599609375,4488.75,4447.47021484375,4463.72021484375,3662010000.0,4437.89337890625,4174.939049072265,0.6878870663131238,-15.000972221597104,59.86900331098999,135.81005859375
2021-10-19,4519.6298828125,4520.39990234375,4496.41015625,4497.33984375,3459130000.0,4439.638974609375,4179.033948974609,9.452596206126145,-10.110258536052456,62.98833019575534,155.830078125
2021-10-20,4536.18994140625,4540.8701171875,4524.39990234375,4524.419921875,3670760000.0,4441.6277734375,4183.080598144531,17.532841987462234,-4.581638431349518,64.47303841352743,97.93017578125
2021-10-21,4549.77978515625,4551.43994140625,4526.89013671875,4532.240234375,3822330000.0,4443.775166015625,4187.088797607422,24.74780451429251,1.284250157778888,65.68941440972065,78.40966796875
2021-10-22,4544.89990234375,4559.669921875,4524.0,4546.1201171875,3758220000.0,4445.4565625,4190.794346923828,29.729248269481104,6.973249780119332,64.8310485520579,58.43994140625
2021-10-25,4566.47998046875,4572.6201171875,4537.35986328125,4553.68994140625,3899400000.0,4447.426162109375,4194.503347167969,35.01478168001904,12.581556160099275,66.89142168837833,46.85009765625
2021-10-26,4574.7900390625,4598.52978515625,4569.169921875,4578.68994140625,3879740000.0,4449.327763671875,4198.379246826172,39.41975091592485,17.94919511126439,67.67672525233169,38.60009765625
2021-10-27,4551.68017578125,4584.56982421875,4551.66015625,4580.22021484375,4226050000.0,4451.399765625,4202.131697998047,40.578187851353505,22.474993659282216,63.18812934401968,1.900390625
2021-10-28,4596.419921875,4597.5498046875,4562.83984375,4562.83984375,4132950000.0,4455.322763671875,4206.064597167969,44.592348240134925,26.89846457545276,67.66002512307281,51.52001953125
2021-10-29,4605.3798828125,4608.080078125,4567.58984375,4572.8701171875,4510200000.0,4459.314365234375,4210.113796386719,47.943925505675,31.10755676149721,68.48569937809353,38.89990234375
2021-11-01,4613.669921875,4620.33984375,4595.06005859375,4610.6201171875,3971540000.0,4462.754365234375,4214.340895996093,50.68474926564886,35.02299526232754,69.26751068698582,38.8798828125
2021-11-02,4630.64990234375,4635.14990234375,4613.33984375,4613.33984375,3975250000.0,4465.776767578125,4218.499595947265,53.60904268460945,38.740204746783924,70.86199197360561,78.9697265625
2021-11-03,4660.56982421875,4663.4599609375,4621.18994140625,4630.64990234375,4319660000.0,4469.263564453125,4222.543194580078,57.676000895367,42.52736397650054,73.4735997767189,64.14990234375
2021-11-04,4680.06005859375,4683.0,4662.58984375,4662.93017578125,4462300000.0,4472.940966796875,4226.67814453125,61.75986433376147,46.37386404795273,75.0428234108132,74.68017578125
2021-11-05,4697.52978515625,4718.5,4681.31982421875,4699.259765625,4467180000.0,4477.4915625,4230.958443603516,65.64925274394318,50.22894178715082,76.39097375369646,83.85986328125
2021-11-08,4701.7001953125,4714.919921875,4694.39013671875,4701.47998046875,4269710000.0,4481.3381640625,4235.190144042968,68.28103703510806,53.83936083674227,76.71435034316536,71.05029296875
